method	definition	setting	stratum	folds	pool	MR_mean	MR_sd	MRR_mean	MRR_sd	H@1_mean	H@1_sd	H@3_mean	H@3_sd	H@10_mean	H@10_sd	H@100_mean	H@100_sd	AUC_mean	AUC_sd
LinkGDA-pfs_owl2vecstar	train_csv	raw	all	10	4399	1786.247714	65.884236	0.026704	0.004274	0.010969	0.003343	0.024703	0.005588	0.053684	0.006983	0.169341	0.019369	0.594077	0.014980
LinkGDA-pfs_owl2vecstar_gda	train_csv	calibrated	zero overlap	10	4399	739.178910	55.001310	0.042570	0.008142	0.012364	0.005987	0.035841	0.011440	0.097822	0.016625	0.370489	0.030347	0.832156	0.012506
LinkGDA-pfs_owl2vecstar_gda	train_csv	calibrated	some overlap	10	4399	415.166027	54.295646	0.054142	0.009779	0.019303	0.009457	0.046525	0.010249	0.110857	0.018635	0.457301	0.038456	0.905829	0.012346
LinkGDA-pfs_owl2vecstar_gda	train_csv	calibrated	all	10	4399	596.307607	44.043010	0.047673	0.006443	0.015423	0.005289	0.040569	0.007481	0.103601	0.013038	0.408654	0.024017	0.864641	0.010014
LinkGDA-pfs_owl2vecstar_gda	train_csv	raw	zero overlap	10	4399	2696.172476	67.339079	0.001600	0.000338	0.000000	0.000000	0.000267	0.000843	0.001618	0.001395	0.027147	0.010118	0.387182	0.015311
LinkGDA-pfs_owl2vecstar_gda	train_csv	raw	some overlap	10	4399	650.328275	78.660519	0.060415	0.009542	0.029323	0.008480	0.057654	0.011604	0.116743	0.015433	0.357360	0.034070	0.852358	0.017886
LinkGDA-pfs_owl2vecstar_gda	train_csv	raw	all	10	4399	1793.174495	78.252922	0.027550	0.004159	0.012934	0.003696	0.025573	0.005268	0.052415	0.006626	0.173041	0.020619	0.592502	0.017793
INDIGENA_owl2vecstar	train_csv	calibrated	zero overlap	10	4399	812.518967	78.709297	0.053004	0.010059	0.017319	0.006984	0.049191	0.012075	0.119907	0.019256	0.384088	0.028141	0.815480	0.017897
INDIGENA_owl2vecstar	train_csv	calibrated	some overlap	10	4399	495.556724	58.741010	0.073544	0.012400	0.028809	0.012434	0.067724	0.015251	0.158226	0.018119	0.512750	0.027017	0.887550	0.013356
INDIGENA_owl2vecstar	train_csv	calibrated	all	10	4399	673.206925	58.132502	0.062033	0.009188	0.022377	0.007165	0.057355	0.011100	0.136702	0.016689	0.440685	0.019052	0.847156	0.013218
INDIGENA_owl2vecstar	train_csv	raw	zero overlap	10	4399	1165.133431	99.379572	0.041045	0.009921	0.015853	0.006950	0.033868	0.013466	0.086008	0.019885	0.330738	0.030175	0.735304	0.022597
INDIGENA_owl2vecstar	train_csv	raw	some overlap	10	4399	562.314233	65.510146	0.081573	0.010432	0.032012	0.010019	0.081210	0.016041	0.176597	0.020778	0.522955	0.030565	0.872371	0.014895
INDIGENA_owl2vecstar	train_csv	raw	all	10	4399	899.498861	75.786279	0.058925	0.008479	0.023003	0.006730	0.054762	0.012104	0.125895	0.013243	0.415191	0.021014	0.795703	0.017232
INDIGENA_owl2vecstar_gda	train_csv	calibrated	zero overlap	10	4399	802.996868	66.346734	0.051559	0.011124	0.015043	0.007059	0.048633	0.013138	0.121915	0.025235	0.386564	0.033375	0.817645	0.015086
INDIGENA_owl2vecstar_gda	train_csv	calibrated	some overlap	10	4399	492.265889	50.589330	0.075054	0.010533	0.030040	0.010688	0.072712	0.014096	0.158446	0.021464	0.510306	0.030857	0.888298	0.011503
INDIGENA_owl2vecstar_gda	train_csv	calibrated	all	10	4399	666.391717	45.599822	0.061793	0.008280	0.021563	0.006808	0.059087	0.009865	0.137753	0.013745	0.440878	0.022913	0.848706	0.010368
INDIGENA_owl2vecstar_gda	train_csv	raw	zero overlap	10	4399	1110.133108	99.302745	0.041025	0.009601	0.014257	0.007546	0.034190	0.011163	0.088985	0.016896	0.328664	0.031545	0.747810	0.022579
INDIGENA_owl2vecstar_gda	train_csv	raw	some overlap	10	4399	532.499841	63.975517	0.079963	0.010953	0.029983	0.010887	0.077163	0.015652	0.176212	0.015998	0.523840	0.027976	0.879150	0.014547
INDIGENA_owl2vecstar_gda	train_csv	raw	all	10	4399	855.748180	75.070821	0.058176	0.007267	0.021187	0.006434	0.053125	0.009324	0.127393	0.013321	0.414467	0.021521	0.805651	0.017069
ULTRA-pfs-zeroshot_owl2vecstar	train_csv	calibrated	zero overlap	10	4399	1102.703100	67.622084	0.072893	0.005783	0.036480	0.003404	0.074134	0.008697	0.142160	0.012837	0.372869	0.020973	0.749499	0.015376
ULTRA-pfs-zeroshot_owl2vecstar	train_csv	calibrated	some overlap	10	4399	460.925184	58.713103	0.076250	0.009047	0.027054	0.009475	0.070888	0.013675	0.174548	0.023337	0.553601	0.033743	0.895424	0.013350
ULTRA-pfs-zeroshot_owl2vecstar	train_csv	calibrated	all	10	4399	819.531366	51.416367	0.074315	0.005053	0.032295	0.003710	0.072662	0.008924	0.156306	0.012615	0.452725	0.018076	0.813886	0.011691
ULTRA-pfs-zeroshot_owl2vecstar	train_csv	raw	zero overlap	10	4399	3267.927991	61.030366	0.000922	0.000370	0.000000	0.000000	0.000260	0.000821	0.000809	0.001304	0.013215	0.008329	0.257179	0.013877
ULTRA-pfs-zeroshot_owl2vecstar	train_csv	raw	some overlap	10	4399	599.503365	65.220665	0.112537	0.007172	0.061839	0.007649	0.116141	0.010857	0.212376	0.031192	0.493123	0.034117	0.863915	0.014830
ULTRA-pfs-zeroshot_owl2vecstar	train_csv	raw	all	10	4399	2090.479799	78.539372	0.050154	0.003246	0.027262	0.003199	0.051347	0.004460	0.094214	0.014817	0.225135	0.020944	0.524902	0.017858
